index,capacity,chp,chp_capacity,city,commissioned,company,zone,eta,fuel,lat,lon,name,postcode,status,street,technology
5775,1.508,,,Vilarmaior,1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,43.3547141,-8.1299231,GUIMIL GRUPO 1,,,,
5776,1.467,,,Vilarmaior,1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,43.3547141,-8.1299231,GUIMIL GRUPO 2,,,,
5777,1.517,,,Naron,1985,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,43.5010981,-8.1923091,FERVENZA GRUPO 1,,,,
5778,557.2,,,Cerceda,1980,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Lignite,43.16853,-8.409357,MEIRAMA GRUPO 1,,,,
5779,154.34,,,Tineo,1969,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hard coal,43.292086,-6.394014,NARCEA GRUPO 2,,,,
5780,347.47,,,Tineo,1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hard coal,43.292086,-6.394014,NARCEA GRUPO 3,,,,
5781,263.96,,,Robla (La),1971,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hard coal,42.792627,-5.635153,LA ROBLA GRUPO 1,,,,
5782,355.1,,,Robla (La),1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hard coal,42.792627,-5.635153,LA ROBLA GRUPO 2,,,,
5783,0.8,,,Sant Llorenc de Morunys,1994,"ENERGUIX, S.L.",ES,,Oil,42.1360783,1.5885869,CENTRAL ERA NOVA GRUPO 1,,,,
5784,0.8,,,Sant Llorenc de Morunys,1994,"ENERGUIX, S.L.",ES,,Oil,42.1360783,1.5885869,CENTRAL ERA NOVA GRUPO 2,,,,
5785,0.75,,,Duenas,1993,"ANSELMO LEON, S.A.",ES,,Oil,41.87652,-4.5462804,TORRECILLA III GRUPO 1,,,,
5786,0.75,,,Duenas,1993,"ANSELMO LEON, S.A.",ES,,Oil,41.87652,-4.5462804,TORRECILLA III GRUPO 2,,,,
5787,2,,,Deltebre,2000,"ENERGIA ELECTRICA DEL EBRO, S.A.",ES,,Oil,40.7203938,0.7243445,CACHINA,,,,
5788,0.319,,,Don Benito,1923,"FELIZ GONZALEZ PRODUCCION DE ENERGIA ELECTRICA, S.A.U",ES,,Hydro,38.9540269,-5.8619466,SALTO DEL MARTEL 1,,,,
5789,0.175,,,Don Benito,1923,"FELIZ GONZALEZ PRODUCCION DE ENERGIA ELECTRICA, S.A.U",ES,,Hydro,38.9540269,-5.8619466,SALTO DEL MARTEL 2,,,,
