nuts_id,biomass/ccgt,biomass/generator,hydro/tidal,sun/geothermal
DE254,8.423,0,0,0
DE255,4.379,0,0,0
DE256,128.20115,0,0,0
DE257,10.1715,0,0,0
DE258,9.145,0,0,0
DE259,2.234,0,0,0
DE25A,39.1858,0,0,0
DE25B,7.273,0,0,0
DE25C,45.3655,0,0,0
DE261,3.872,0,0,0
DE262,0.0055,0,0,0
DE263,0,0,0,0
DE264,24.474,0,0,0
DE265,4.8793,0,0,0
DE266,13.5553,0,0,0
DE267,14.62,0,0,0
DE268,10.023,0,0,0
DE269,4.33,0,0,0
DE26A,6.25012,0,0,0
DE26B,12.4935,0,0,0
DE26C,21.732,0,0,0
DE271,12.444,0,0,0
DE272,3.078,0,0,0
DE273,4.45,0,0,0
DE274,1.377,0,0,0
DE275,47.0312,0,0,0
DE276,31.147,0,0,0
DE277,47.028,0,0,0
DE278,23.8599,0,0,0
DE279,18.153,0,0,0
DE27A,1.4895,0,0,0
DE27B,30.6413,0,0,0
DE27C,39.83576,0,0,0
DE27D,86.7372,0,0,0
DE27E,7.8149,0,0,0
DE300,42.2397,0,0,0
DE401,3.285,0,0,0
DE402,1.794,0,0,0
DE403,3.0929,0,0,0
DE404,0.586,0,0,0
DE405,36.997,0,0,0
DE406,31.2692,0,0,0
DE407,27.542,0,0,0
DE408,20.689,0,0,0
DE409,32.036,0,0,0
DE40A,17.547,0,0,0
DE40B,18.5314,0,0,0
DE40C,49.609,0,0,0
DE40D,50.86,0,0,0
DE40E,24.416,0,0,0
DE40F,24.992,0,0,0
DE40G,13.903,0,0,0
DE40H,61.136,0,0,0
DE40I,26.072,0,0,0
DE501,6.16424,0,0,0
DE502,8.338,0,0,0
DE600,38.6819,0,0,0
DE711,6.784,0,0,0
DE712,20.5936,0,0,0
DE713,0.7887,0,0,0
DE714,16.415,0,0,0
DE715,4.759,0,0,0
DE716,3.83727,0,0,0
DE717,2.88,0,0,0
DE718,4.349,0,0,0
DE719,17.8378,0,0,0
DE71A,30.108,0,0,0
DE71B,3.301,0,0,0
DE71C,2.61245,0,0,0
DE71D,3.095,0,0,0
DE71E,9.643,0,0,0
DE721,11.2271,0,0,0
DE722,3.2556,0,0,0
DE723,5.22,0,0,0
DE724,15.604,0,0,0
DE725,15.254,0,0,0
DE731,15.338,0,0,0
DE732,11.242,0,0,0
DE733,7.5075,0,0,0
DE734,18.3593,0,0,0
DE735,18.9585,0,0,0
DE736,25.6915,0,0,0
DE737,6.175,0,0,0
DE803,1.6,0,0,0
DE804,3.202,0,0,0
DE80J,90.183,0,0,0
DE80K,45.874,0,0,0
DE80L,31.94935,0,0,0
DE80M,39.836,0,0,0
DE80N,60.999,0,0,0
DE80O,86.2005,0,0,0
DE911,8.1435,0,0,0
DE912,0.96,0,0,0
DE913,4.02,0,0,0
DE914,44.58,0,0,0
DE915,18.63869165,0,0,0
DE916,12.9785,0,0,0
DE917,15.701,0,0,0
DE918,20.807,0,0,0
DE919,10.59830835,0,0,0
DE91A,15.954,0,0,0
DE91B,9.7495,0,0,0
DE922,91.540375,0,0,0
DE923,42.695,0,0,0
DE925,54.024,0,0,0
DE926,6.252,0,0,0
DE927,58.477,0,0,0
DE928,12.9626,0,0,0
DE929,37.3875,0,0,0
DE931,62.401,0,0,0
DE932,48.45,0,0,0
DE933,25.236,0,0,0
DE934,27.857,0,0,0
DE935,37.701,0,0,0
DE936,7.964,0,0,0
DE937,121.91085,0,0,0
DE938,67.703,0,0,0
DE939,25.653,0,0,0
DE93A,39.204,0,0,0
DE93B,27.0585,0,0,0
DE941,1.886,0,0,0
DE942,22.075,0,0,0
DE943,1.7732,0,0,0
DE944,2.882,0,0,0
DE945,1.025,0,0,0
DE946,20.217,0,0,0
DE947,33.364,0,0,0
DE948,117.851,0,0,0
DE949,154.236,0,0,0
DE94A,19.159,0,0,0
DE94B,64.3415,0,0,0
DE94C,9.662,0,0,0
DE94D,65.388,0,0,0
DE94E,67.7033,0,0,0
DE94F,32.50434,0,0,0
DE94G,16.015,0,0,0
DE94H,15.73,0,0,0
DEA11,4.684,0,0,0
DEA12,6.275,0,0,0
DEA13,6.333,0,0,0
DEA14,0.475,0,0,0
DEA16,8.665,0,0,0
DEA17,3.45,0,0,0
DEA18,1.2694,0,0,0
DEA19,0.499,0,0,0
DEA1A,1.83,0,0,0
DEA1B,44.353,0,0,0
DEA1C,3.923,0,0,0
DEA1D,9.401411,0,0,0
DEA1E,19.999,0,0,0
DEA1F,25.7555,0,0,0
DEA22,0.018,0,0,0
DEA23,4.7359,0,0,0
DEA24,0.2215,0,0,0
DEA26,12.25402,0,0,0
DEA27,2.8155,0,0,0
DEA28,17.909,0,0,0
DEA29,15.413,0,0,0
DEA2A,3.639,0,0,0
DEA2B,2.6732,0,0,0
DEA2C,4.654,0,0,0
DEA2D,12.063,0,0,0
DEA31,2.385,0,0,0
DEA32,4.103,0,0,0
DEA33,14.2415,0,0,0
DEA34,78.2897,0,0,0
DEA35,23.8387,0,0,0
DEA36,29.759,0,0,0
DEA37,54.669,0,0,0
DEA38,28.035,0,0,0
DEA41,8.851,0,0,0
DEA42,49.99046,0,0,0
DEA43,9.055,0,0,0
DEA44,30.7505,0,0,0
DEA45,67.6658,0,0,0
DEA46,30.9595,0,0,0
DEA47,28.646,0,0,0
DEA51,6.057,0,0,0
DEA52,4.942,0,0,0
DEA53,20.933,0,0,0
DEA54,2.419,0,0,0
DEA55,2.077,0,0,0
DEA56,4.624,0,0,0
DEA57,38.955,0,0,0
DEA58,4.568,0,0,0
DEA59,1.975,0,0,0
DEA5A,6.104,0,0,0
DEA5B,38.06,0,0,0
DEA5C,53.433,0,0,0
DEB11,1.606,0,0,0
